

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
090.928  000.180  000.180: require('Comment.extra')
090.932  001.635  000.743: require('Comment.api')
091.089  001.922  000.288: sourcing /Users/alex/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
091.312  000.152  000.152: require('Comment')
093.092  000.183  000.183: require('nvim-treesitter.utils')
093.727  000.632  000.632: require('nvim-treesitter.parsers')
094.466  000.159  000.159: require('nvim-treesitter.compat')
094.860  000.247  000.247: require('nvim-treesitter.ts_utils')
094.868  000.399  000.152: require('nvim-treesitter.tsrange')
095.054  000.185  000.185: require('nvim-treesitter.caching')
095.080  000.948  000.206: require('nvim-treesitter.query')
095.095  001.165  000.217: require('nvim-treesitter.configs')
095.098  001.368  000.203: require('nvim-treesitter.info')
095.328  000.228  000.228: require('nvim-treesitter.shell_command_selectors')
095.365  002.681  000.270: require('nvim-treesitter.install')
095.544  000.176  000.176: require('nvim-treesitter.statusline')
095.789  000.192  000.192: require('nvim-treesitter.query_predicates')
095.792  003.710  000.661: require('nvim-treesitter')
096.071  004.148  000.438: sourcing /Users/alex/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
101.311  000.280  000.280: require('nvim-treesitter.highlight')
102.457  000.181  000.181: require('lualine_require')
102.877  001.395  001.213: require('lualine')
112.324  000.349  000.349: require('lualine.utils.mode')
114.201  000.291  000.291: require('nvim-autopairs._log')
114.437  000.232  000.232: require('nvim-autopairs.utils')
115.133  000.298  000.298: require('nvim-autopairs.conds')
115.143  000.519  000.221: require('nvim-autopairs.rule')
115.146  000.705  000.186: require('nvim-autopairs.rules.basic')
115.163  002.341  001.113: require('nvim-autopairs')
118.682  000.812  000.812: require('cmp.utils.api')
119.207  000.204  000.204: require('cmp.types.cmp')
119.707  000.314  000.314: require('cmp.utils.misc')
119.761  000.550  000.237: require('cmp.types.lsp')
119.982  000.218  000.218: require('cmp.types.vim')
119.991  001.304  000.331: require('cmp.types')
120.162  000.170  000.170: require('cmp.utils.highlight')
120.546  000.173  000.173: require('cmp.utils.debug')
120.565  000.400  000.226: require('cmp.utils.autocmd')
120.880  003.228  000.543: sourcing /Users/alex/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
121.999  000.280  000.280: require('cmp.utils.char')
122.009  000.512  000.232: require('cmp.utils.str')
122.185  000.174  000.174: require('cmp.utils.pattern')
123.151  000.418  000.418: require('cmp.utils.buffer')
123.173  000.796  000.378: require('cmp.utils.keymap')
123.183  000.995  000.200: require('cmp.utils.feedkeys')
123.533  000.349  000.349: require('cmp.utils.async')
124.131  000.326  000.326: require('cmp.utils.cache')
124.165  000.628  000.302: require('cmp.context')
125.774  000.616  000.616: require('cmp.config.mapping')
126.454  000.348  000.348: require('cmp.config.compare')
126.457  000.676  000.328: require('cmp.config.default')
126.471  001.866  000.574: require('cmp.config')
126.888  000.206  000.206: require('cmp.matcher')
126.895  000.422  000.215: require('cmp.entry')
126.901  002.733  000.445: require('cmp.source')
127.241  000.162  000.162: require('cmp.utils.event')
127.729  000.154  000.154: require('cmp.utils.options')
127.735  000.342  000.187: require('cmp.utils.window')
127.738  000.493  000.152: require('cmp.view.docs_view')
127.970  000.231  000.231: require('cmp.view.custom_entries_view')
128.172  000.199  000.199: require('cmp.view.wildmenu_entries_view')
128.428  000.252  000.252: require('cmp.view.native_entries_view')
128.649  000.218  000.218: require('cmp.view.ghost_text_view')
128.664  001.762  000.206: require('cmp.view')
128.717  007.515  000.362: require('cmp.core')
129.019  000.157  000.157: require('cmp.config.sources')
129.162  000.140  000.140: require('cmp.config.window')
129.216  008.279  000.467: require('cmp')
129.382  000.164  000.164: require('lspkind')
131.281  000.322  000.322: require('fidget.log')
131.290  001.341  001.018: require('fidget')
131.535  000.210  000.210: require('fidget.spinners')
132.112  000.022  000.022: sourcing /Users/alex/.local/share/nvim/lazy/which-key.nvim/plugin/which-key.vim
133.577  000.198  000.198: require('which-key.util')
133.581  000.384  000.186: require('which-key.tree')
133.898  000.316  000.316: require('which-key.config')
133.912  000.915  000.216: require('which-key.keys')
133.915  001.759  000.844: require('which-key')
136.494  000.171  000.171: require('gitsigns.async')
137.005  000.232  000.232: require('gitsigns.message')
137.022  000.524  000.292: require('gitsigns.config')
137.220  000.197  000.197: require('gitsigns.debug.log')
137.380  000.156  000.156: require('gitsigns.uv')
137.385  001.845  000.798: require('gitsigns')
140.227  000.356  000.356: sourcing /Users/alex/.local/share/nvim/lazy/vim-vsnip/autoload/vital/vsnip.vim
140.651  000.103  000.103: sourcing /Users/alex/.local/share/nvim/lazy/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Position.vim
140.963  000.026  000.026: sourcing /Users/alex/.local/share/nvim/lazy/vim-vsnip/autoload/vital/_vsnip.vim
141.407  001.755  001.270: sourcing /Users/alex/.local/share/nvim/lazy/vim-vsnip/autoload/vsnip/snippet.vim
141.889  000.164  000.164: sourcing /Users/alex/.local/share/nvim/lazy/vim-vsnip/autoload/vital/_vsnip/VS/LSP/TextEdit.vim
142.345  000.100  000.100: sourcing /Users/alex/.local/share/nvim/lazy/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Text.vim
142.956  000.137  000.137: sourcing /Users/alex/.local/share/nvim/lazy/vim-vsnip/autoload/vital/_vsnip/VS/Vim/Buffer.vim
143.463  000.068  000.068: sourcing /Users/alex/.local/share/nvim/lazy/vim-vsnip/autoload/vital/_vsnip/VS/Vim/Option.vim
144.101  000.161  000.161: sourcing /Users/alex/.local/share/nvim/lazy/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Diff.vim
144.325  004.917  002.532: sourcing /Users/alex/.local/share/nvim/lazy/vim-vsnip/autoload/vsnip/session.vim
144.549  005.383  000.466: sourcing /Users/alex/.local/share/nvim/lazy/vim-vsnip/autoload/vsnip.vim
144.823  006.484  001.101: sourcing /Users/alex/.local/share/nvim/lazy/vim-vsnip/plugin/vsnip.vim
149.149  000.034  000.034: sourcing /Users/alex/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
149.783  000.326  000.326: sourcing /Users/alex/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
150.967  000.198  000.198: require('telescope._extensions')
150.971  001.141  000.943: require('telescope')
151.883  000.191  000.191: require('plenary.bit')
152.025  000.139  000.139: require('plenary.functional')
152.047  000.718  000.389: require('plenary.path')
152.054  000.887  000.169: require('plenary.strings')
152.207  000.152  000.152: require('telescope.deprecated')
152.809  000.255  000.255: require('plenary.log')
152.823  000.427  000.172: require('telescope.log')
153.234  000.181  000.181: require('plenary.job')
153.447  000.210  000.210: require('telescope.state')
153.456  000.632  000.241: require('telescope.utils')
153.463  001.253  000.195: require('telescope.sorters')
153.553  000.079  000.079: require('vim.inspect')
154.743  003.770  001.399: require('telescope.config')
156.274  000.212  000.212: require('telescope.actions.state')
156.280  000.399  000.187: require('telescope._extensions.file_browser.utils')
156.949  000.154  000.154: require('plenary.window.border')
157.127  000.175  000.175: require('plenary.window')
157.306  000.176  000.176: require('plenary.popup.utils')
157.313  000.717  000.213: require('plenary.popup')
157.531  000.217  000.217: require('telescope.pickers.scroller')
157.683  000.148  000.148: require('telescope.actions.utils')
158.030  000.177  000.177: require('telescope.actions.mt')
158.044  000.359  000.182: require('telescope.actions.set')
158.340  000.149  000.149: require('telescope.config.resolve')
158.343  000.297  000.148: require('telescope.pickers.entry_display')
158.482  000.137  000.137: require('telescope.from_entry')
158.672  002.390  000.514: require('telescope.actions')
158.709  003.024  000.235: require('telescope._extensions.file_browser.actions')
159.397  000.232  000.232: require('telescope._extensions.file_browser.git')
160.032  000.630  000.630: require('telescope._extensions.file_browser.fs_stat')
160.038  001.115  000.253: require('telescope._extensions.file_browser.make_entry')
161.335  000.279  000.279: require('plenary.tbl')
161.340  000.481  000.202: require('plenary.vararg.rotate')
161.341  000.625  000.145: require('plenary.vararg')
161.504  000.162  000.162: require('plenary.errors')
161.510  000.978  000.191: require('plenary.async.async')
162.107  000.154  000.154: require('plenary.async.structs')
162.115  000.324  000.170: require('plenary.async.control')
162.122  000.475  000.151: require('plenary.async.util')
162.125  000.613  000.139: require('plenary.async.tests')
162.127  001.830  000.239: require('plenary.async')
162.524  000.173  000.173: require('plenary.class')
162.613  000.485  000.312: require('telescope._')
163.224  000.608  000.608: require('telescope.make_entry')
163.228  003.188  000.265: require('telescope.finders.async_oneshot_finder')
163.890  000.203  000.203: require('telescope.finders.async_static_finder')
164.091  000.198  000.198: require('telescope.finders.async_job_finder')
164.104  000.830  000.429: require('telescope.finders')
164.409  000.303  000.303: require('plenary.scandir')
164.520  005.809  000.373: require('telescope._extensions.file_browser.finders')
165.330  000.258  000.258: require('telescope.debounce')
165.608  000.275  000.275: require('telescope.mappings')
165.790  000.179  000.179: require('telescope.pickers.highlights')
165.980  000.186  000.186: require('telescope.pickers.window')
166.382  000.187  000.187: require('telescope.algos.linked_list')
166.388  000.405  000.218: require('telescope.entry_manager')
166.575  000.185  000.185: require('telescope.pickers.multi')
166.596  001.866  000.378: require('telescope.pickers')
166.599  002.077  000.211: require('telescope._extensions.file_browser.picker')
166.803  000.203  000.203: require('telescope._extensions.file_browser.config')
166.811  011.320  000.207: require('telescope._extensions.file_browser')
167.544  000.311  000.311: require('telescope.builtin.__lsp')
167.574  000.737  000.426: require('telescope.builtin')
168.127  000.183  000.183: require('monorepo.utils')
168.268  000.138  000.138: require('monorepo.messages')
168.318  000.625  000.304: require('monorepo')
168.696  000.207  000.207: require('telescope._extensions.monorepo')
170.953  000.541  000.541: sourcing /Users/alex/.local/share/nvim/lazy/copilot.vim/autoload/copilot.vim
171.027  001.849  001.309: sourcing /Users/alex/.local/share/nvim/lazy/copilot.vim/plugin/copilot.vim
172.237  000.042  000.042: sourcing /Users/alex/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
174.523  000.160  000.160: require('nvim-tree.notify')
174.531  000.363  000.204: require('nvim-tree.events')
175.092  000.177  000.177: require('nvim-tree.log')
175.429  000.166  000.166: require('nvim-tree.iterators.node-iterator')
175.481  000.385  000.219: require('nvim-tree.utils')
175.874  000.391  000.391: require('nvim-tree.git.utils')
176.403  000.527  000.527: require('nvim-tree.git.runner')
176.938  000.531  000.531: require('nvim-tree.watcher')
177.273  000.332  000.332: require('nvim-tree.explorer.node')
177.291  002.562  000.219: require('nvim-tree.git')
177.610  000.317  000.317: require('nvim-tree.explorer.watch')
178.353  000.379  000.379: require('nvim-tree.explorer.node-builders')
178.897  000.540  000.540: require('nvim-tree.explorer.sorters')
179.341  000.440  000.440: require('nvim-tree.explorer.filters')
180.272  000.636  000.636: require('nvim-tree.view')
180.278  000.931  000.296: require('nvim-tree.live-filter')
180.281  002.668  000.378: require('nvim-tree.explorer.explore')
180.454  000.171  000.171: require('nvim-tree.explorer.reload')
180.458  005.925  000.206: require('nvim-tree.explorer')
180.460  006.448  000.160: require('nvim-tree.core')
180.621  000.159  000.159: require('nvim-tree.diagnostics')
180.995  000.155  000.155: require('nvim-tree.modified')
180.999  000.374  000.219: require('nvim-tree.renderer.components.modified')
181.135  000.135  000.135: require('nvim-tree.renderer.components.padding')
181.279  000.141  000.141: require('nvim-tree.renderer.components.icons')
181.411  000.129  000.129: require('nvim-tree.renderer.components.full-name')
181.543  000.130  000.130: require('nvim-tree.renderer.components.git')
181.692  000.146  000.146: require('nvim-tree.renderer.builder')
181.856  000.162  000.162: require('nvim-tree.marks')
181.863  008.047  000.223: require('nvim-tree.renderer')
181.867  008.366  000.319: require('nvim-tree.lib')
182.032  000.164  000.164: require('nvim-tree.colors')
182.804  000.172  000.172: require('nvim-tree.actions.finders.find-file')
182.807  000.295  000.123: require('nvim-tree.actions.tree.open')
182.943  000.134  000.134: require('nvim-tree.actions.tree.toggle')
183.079  000.132  000.132: require('nvim-tree.actions.reloaders.reloaders')
183.196  000.113  000.113: require('nvim-tree.actions.root.dir-up')
183.361  000.120  000.120: require('nvim-tree.actions.tree.find-file')
183.478  000.115  000.115: require('nvim-tree.actions.finders.search-node')
183.640  000.160  000.160: require('nvim-tree.actions.tree-modifiers.collapse-all')
183.805  000.162  000.162: require('nvim-tree.actions.tree-modifiers.expand-all')
183.945  000.137  000.137: require('nvim-tree.actions.tree-modifiers.toggles')
184.217  000.137  000.137: require('nvim-tree.keymap')
184.222  000.272  000.135: require('nvim-tree.help')
184.354  000.130  000.130: require('nvim-tree.actions.fs.create-file')
184.477  000.121  000.121: require('nvim-tree.actions.fs.remove-file')
184.609  000.129  000.129: require('nvim-tree.actions.fs.trash')
184.743  000.131  000.131: require('nvim-tree.actions.fs.rename-file')
184.892  000.144  000.144: require('nvim-tree.actions.fs.copy-paste')
185.032  000.133  000.133: require('nvim-tree.actions.node.file-popup')
185.156  000.121  000.121: require('nvim-tree.actions.node.run-command')
185.283  000.125  000.125: require('nvim-tree.actions.node.system-open')
185.445  000.159  000.159: require('nvim-tree.actions.moves.sibling')
185.627  000.178  000.178: require('nvim-tree.actions.moves.parent')
185.772  000.141  000.141: require('nvim-tree.actions.moves.item')
185.932  000.153  000.153: require('nvim-tree.marks.bulk-move')
186.252  000.179  000.179: require('nvim-tree.actions.node.open-file')
186.256  000.322  000.143: require('nvim-tree.marks.navigation')
186.260  003.899  000.275: require('nvim-tree.api')
186.277  004.104  000.206: require('nvim-tree.keymap-legacy')
186.284  004.249  000.145: require('nvim-tree.commands')
186.424  000.138  000.138: require('nvim-tree.actions.root.change-dir')
186.549  000.123  000.123: require('nvim-tree.legacy')
186.590  014.285  001.245: require('nvim-tree')
187.385  000.292  000.292: require('nvim-tree.actions')
188.052  000.487  000.487: require('nvim-web-devicons')
191.382  000.134  000.134: require('mason-core.path')
191.676  000.153  000.153: require('mason-core.functional')
191.955  000.125  000.125: require('mason-core.functional.data')
191.960  000.258  000.133: require('mason-core.functional.function')
192.087  000.115  000.115: require('mason-core.functional.relation')
192.207  000.113  000.113: require('mason-core.functional.logic')
192.222  000.836  000.197: require('mason-core.platform')
192.356  000.133  000.133: require('mason.settings')
192.359  001.975  000.871: require('mason')
192.851  000.177  000.177: require('mason-core.functional.list')
193.023  000.167  000.167: require('mason-core.functional.string')
193.046  000.605  000.260: require('mason.api.command')
193.216  000.162  000.162: require('mason-registry.sources')
193.658  000.163  000.163: require('mason-core.log')
193.808  000.148  000.148: require('mason-lspconfig.settings')
193.813  000.480  000.170: require('mason-lspconfig')
194.098  000.143  000.143: require('mason-lspconfig.notify')
194.103  000.278  000.135: require('mason-lspconfig.lspconfig_hook')
194.444  000.190  000.190: require('mason-core.functional.table')
194.488  000.384  000.194: require('mason-lspconfig.mappings.server')
194.811  000.143  000.143: require('mason-core.EventEmitter')
194.926  000.113  000.113: require('mason-core.optional')
195.186  000.131  000.131: require('mason-core.async')
195.296  000.108  000.108: require('mason-core.async.uv')
195.302  000.374  000.135: require('mason-core.fs')
195.320  000.830  000.200: require('mason-registry')
195.434  000.112  000.112: require('mason-lspconfig.server_config_extensions')
195.555  000.118  000.118: require('lspconfig.server_configurations.omnisharp')
195.692  000.117  000.117: require('mason-lspconfig.ensure_installed')
196.228  000.117  000.117: require('mason-core.result')
